policy,scenario,distribution_family,n,level,total_replications,conditional_denominator,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_error,type_i_ci95_lower,type_i_ci95_upper,ci_coverage,coverage_ci95_lower,coverage_ci95_upper,denominator_sufficient,confirmatory_cell,operating_region
v2,bimodal_asymmetric,bimodal,500,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,bimodal_asymmetric,bimodal,500,insufficient,200,56,0.28,0.22236889773949026,0.3459230458665071,0.05357142857142857,0.018385781382109126,0.14607309068821533,0.9464285714285714,0.8539269093117847,0.9816142186178909,False,False,false_insufficient
v3_default,bimodal_asymmetric,bimodal,500,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,bimodal_asymmetric,bimodal,500,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,bimodal_asymmetric,bimodal,750,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,bimodal_asymmetric,bimodal,750,insufficient,200,47,0.235,0.18157433415232588,0.29841368882762537,0.0425531914893617,0.011748275966789345,0.1424852767789945,0.9574468085106383,0.8575147232210055,0.9882517240332106,False,False,false_insufficient
v3_default,bimodal_asymmetric,bimodal,750,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,bimodal_asymmetric,bimodal,750,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,bimodal_asymmetric,bimodal,2000,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,bimodal_asymmetric,bimodal,2000,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,bimodal_asymmetric,bimodal,2000,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
