policy,scenario,distribution_family,n,level,total_replications,conditional_denominator,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_error,type_i_ci95_lower,type_i_ci95_upper,ci_coverage,coverage_ci95_lower,coverage_ci95_upper
v3_oracle_simulation_truth,contamination_asymmetric_eps_0p005,normal_contamination_asymmetric,100,caution,5000,3012,0.6024,0.5887610876239092,0.6158816870177432,0.08167330677290836,0.07241741214834437,0.09199489718259325,0.9183266932270916,0.9080051028174067,0.9275825878516556
v3_oracle_simulation_truth,contamination_asymmetric_eps_0p005,normal_contamination_asymmetric,100,insufficient,5000,1988,0.3976,0.38411831298225696,0.4112389123760909,0.019114688128772636,0.01395771534751223,0.02612652854003377,0.9808853118712274,0.9738734714599663,0.9860422846524878
v2,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,100,acceptable,5000,1676,0.3352,0.3222463244282717,0.3484067101328192,0.1718377088305489,0.154532781443546,0.19064351824592732,0.8281622911694511,0.8093564817540727,0.8454672185564539
v2,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,100,caution,5000,168,0.0336,0.028952430871671923,0.038963681502677365,0.22023809523809523,0.1642172633580192,0.2887668963139308,0.7797619047619048,0.7112331036860692,0.8357827366419809
v2,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,100,insufficient,5000,3156,0.6312,0.6177306261174698,0.6444679288921473,0.012674271229404309,0.00932159865901627,0.017211839778741668,0.9873257287705957,0.9827881602212583,0.9906784013409837
v3_default,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,100,acceptable,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v3_default,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,100,caution,5000,1872,0.3744,0.3610865758941194,0.38790627083447904,0.1736111111111111,0.1571256852349515,0.19143333383681585,0.8263888888888888,0.8085666661631842,0.8428743147650485
v3_default,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,100,insufficient,5000,3128,0.6256,0.6120937291655211,0.6389134241058807,0.01278772378516624,0.009405160999955323,0.017365497707738303,0.9872122762148338,0.9826345022922617,0.9905948390000446
v3_oracle_simulation_truth,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,100,acceptable,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v3_oracle_simulation_truth,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,100,caution,5000,1872,0.3744,0.3610865758941194,0.38790627083447904,0.1736111111111111,0.1571256852349515,0.19143333383681585,0.8263888888888888,0.8085666661631842,0.8428743147650485
v3_oracle_simulation_truth,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,100,insufficient,5000,3128,0.6256,0.6120937291655211,0.6389134241058807,0.01278772378516624,0.009405160999955323,0.017365497707738303,0.9872122762148338,0.9826345022922617,0.9905948390000446
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,100,acceptable,5000,359,0.0718,0.06496832668290924,0.0792891332628377,0.7409470752089137,0.6932446794291396,0.7835475828506009,0.2590529247910863,0.21645241714939922,0.3067553205708604
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,100,caution,5000,35,0.007,0.005037635094103144,0.009719319023723182,0.7142857142857143,0.5494506513681738,0.836734637635653,0.2857142857142857,0.16326536236434688,0.45054934863182616
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,100,insufficient,5000,4606,0.9212,0.9134045309031973,0.9283487569782867,0.0243161094224924,0.020248489117206957,0.029176520583447985,0.9756838905775076,0.970823479416552,0.979751510882793
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,100,acceptable,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,100,caution,5000,412,0.0824,0.07509504921994331,0.0903461354445684,0.7160194174757282,0.6706377562618947,0.757409991802474,0.28398058252427183,0.24259000819752605,0.32936224373810535
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,100,insufficient,5000,4588,0.9176,0.9096538645554316,0.9249049507800567,0.023539668700959023,0.01953506244026812,0.028341472669277057,0.976460331299041,0.971658527330723,0.9804649375597319
v3_oracle_simulation_truth,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,100,acceptable,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v3_oracle_simulation_truth,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,100,caution,5000,412,0.0824,0.07509504921994331,0.0903461354445684,0.7160194174757282,0.6706377562618947,0.757409991802474,0.28398058252427183,0.24259000819752605,0.32936224373810535
v3_oracle_simulation_truth,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,100,insufficient,5000,4588,0.9176,0.9096538645554316,0.9249049507800567,0.023539668700959023,0.01953506244026812,0.028341472669277057,0.976460331299041,0.971658527330723,0.9804649375597319
v2,contamination_symmetric_eps_0p1,normal_contamination_symmetric,100,acceptable,5000,5,0.001,0.00042721349110879964,0.002338953050058211,0.2,0.03622410863243014,0.6244653702374747,0.8,0.37553462976252533,0.9637758913675698
v2,contamination_symmetric_eps_0p1,normal_contamination_symmetric,100,caution,5000,47,0.0094,0.007076557215688711,0.012476711932801345,0.02127659574468085,0.0037657680385967812,0.11112981041629329,0.9787234042553191,0.8888701895837066,0.996234231961403
v2,contamination_symmetric_eps_0p1,normal_contamination_symmetric,100,insufficient,5000,4948,0.9896,0.9863882308917424,0.9920600353636577,0.048100242522231204,0.04248067706870444,0.054420942825840965,0.9518997574777688,0.945579057174159,0.9575193229312956
v3_default,contamination_symmetric_eps_0p1,normal_contamination_symmetric,100,acceptable,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v3_default,contamination_symmetric_eps_0p1,normal_contamination_symmetric,100,caution,5000,2735,0.547,0.5331714949227807,0.560756341094384,0.009506398537477149,0.006495699948254278,0.013893015375464626,0.9904936014625229,0.9861069846245353,0.9935043000517457
v3_default,contamination_symmetric_eps_0p1,normal_contamination_symmetric,100,insufficient,5000,2265,0.453,0.4392436589056161,0.4668285050772194,0.09448123620309051,0.08311267257423478,0.10722299726369129,0.9055187637969095,0.8927770027363088,0.9168873274257653
v3_oracle_simulation_truth,contamination_symmetric_eps_0p1,normal_contamination_symmetric,100,acceptable,5000,5,0.001,0.00042721349110879964,0.002338953050058211,0.2,0.03622410863243014,0.6244653702374747,0.8,0.37553462976252533,0.9637758913675698
v3_oracle_simulation_truth,contamination_symmetric_eps_0p1,normal_contamination_symmetric,100,caution,5000,4995,0.999,0.9976610469499418,0.9995727865088913,0.047847847847847846,0.042268171169790474,0.05412245509631403,0.9521521521521521,0.9458775449036859,0.9577318288302096
v3_oracle_simulation_truth,contamination_symmetric_eps_0p1,normal_contamination_symmetric,100,insufficient,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v2,lognormal_sigma_0.25,lognormal,20,acceptable,10000,7388,0.7388,0.7300995657828826,0.7473170365952821,0.06199242014076881,0.05671810293083445,0.0677219928078324,0.9380075798592312,0.9322780071921676,0.9432818970691655
v2,lognormal_sigma_0.25,lognormal,20,caution,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
v2,lognormal_sigma_0.25,lognormal,20,insufficient,10000,2612,0.2612,0.2526829634047178,0.26990043421711724,0.03637059724349158,0.02984503269315615,0.044257875251457635,0.9636294027565084,0.9557421247485424,0.9701549673068438
v3_default,lognormal_sigma_0.25,lognormal,20,acceptable,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
v3_default,lognormal_sigma_0.25,lognormal,20,caution,10000,9983,0.9983,0.9972790145849042,0.9989382926388795,0.05539417008915156,0.05107559877112873,0.06005477847546779,0.9446058299108484,0.9399452215245322,0.9489244012288712
v3_default,lognormal_sigma_0.25,lognormal,20,insufficient,10000,17,0.0017,0.0010617073611205116,0.0027209854150957837,0.0,0.0,0.1843181350088518,1.0,0.8156818649911483,1.0
v3_oracle_simulation_truth,lognormal_sigma_0.25,lognormal,20,acceptable,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
v3_oracle_simulation_truth,lognormal_sigma_0.25,lognormal,20,caution,10000,9983,0.9983,0.9972790145849042,0.9989382926388795,0.05539417008915156,0.05107559877112873,0.06005477847546779,0.9446058299108484,0.9399452215245322,0.9489244012288712
v3_oracle_simulation_truth,lognormal_sigma_0.25,lognormal,20,insufficient,10000,17,0.0017,0.0010617073611205116,0.0027209854150957837,0.0,0.0,0.1843181350088518,1.0,0.8156818649911483,1.0
v2,lognormal_sigma_0.50,lognormal,50,acceptable,10000,2541,0.2541,0.24566275758583964,0.26272609281285897,0.10153482880755609,0.09038610546902545,0.11388652496100302,0.898465171192444,0.8861134750389971,0.9096138945309745
v2,lognormal_sigma_0.50,lognormal,50,caution,10000,470,0.047,0.04302305617019257,0.051324846353640416,0.07021276595744681,0.050429226824068356,0.09696492267588658,0.9297872340425531,0.9030350773241134,0.9495707731759315
v2,lognormal_sigma_0.50,lognormal,50,insufficient,10000,6989,0.6989,0.689833962776364,0.7078132826717808,0.04034912004578624,0.035982658711545094,0.04522059209352287,0.9596508799542137,0.9547794079064771,0.964017341288455
v3_default,lognormal_sigma_0.50,lognormal,50,acceptable,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
v3_default,lognormal_sigma_0.50,lognormal,50,caution,10000,9169,0.9169,0.9113284279112934,0.9221513942472366,0.06020285745446614,0.055515878084497185,0.0652581987153785,0.9397971425455338,0.9347418012846215,0.9444841219155028
v3_default,lognormal_sigma_0.50,lognormal,50,insufficient,10000,831,0.0831,0.07784860575276353,0.0886715720887066,0.02527075812274368,0.016587131102401426,0.038323245396449324,0.9747292418772563,0.9616767546035506,0.9834128688975986
v3_oracle_simulation_truth,lognormal_sigma_0.50,lognormal,50,acceptable,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
v3_oracle_simulation_truth,lognormal_sigma_0.50,lognormal,50,caution,10000,9169,0.9169,0.9113284279112934,0.9221513942472366,0.06020285745446614,0.055515878084497185,0.0652581987153785,0.9397971425455338,0.9347418012846215,0.9444841219155028
v3_oracle_simulation_truth,lognormal_sigma_0.50,lognormal,50,insufficient,10000,831,0.0831,0.07784860575276353,0.0886715720887066,0.02527075812274368,0.016587131102401426,0.038323245396449324,0.9747292418772563,0.9616767546035506,0.9834128688975986
v2,lognormal_sigma_1.00,lognormal,30,acceptable,10000,460,0.046,0.04206559125734039,0.05028307926323395,0.3826086956521739,0.33933981581774275,0.4278220065114051,0.6173913043478261,0.5721779934885949,0.6606601841822572
v2,lognormal_sigma_1.00,lognormal,30,caution,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
v2,lognormal_sigma_1.00,lognormal,30,insufficient,10000,9540,0.954,0.949716920736766,0.9579344087426596,0.09979035639412998,0.09393612831177015,0.1059667584925168,0.90020964360587,0.8940332415074831,0.9060638716882298
v3_default,lognormal_sigma_1.00,lognormal,30,acceptable,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
