scenario,distribution_family,distribution_parameters,n,evidence_tier,decision_scope,total_replications,conditional_denominator,classification_count,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_rejections,type_i_error,type_i_ci95_lower,type_i_ci95_upper,coverage_successes,ci_coverage,coverage_ci95_lower,coverage_ci95_upper,mean_bias,rmse,mean_standard_error,empirical_sd_sample_mean,mean_se_to_empirical_sd_ratio,probability_extreme_count_positive,outlier_warn_rate,mean_extreme_count,mean_extreme_fraction,mean_delta_mean_remove_extremes,median_influence_ratio,p90_influence_ratio,mean_delta_standard_error_remove_extremes,mean_delta_t_statistic_remove_extremes,exact_normality_rejection_rate,shape_pass_rate
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",30,exploratory,insufficient,200,158,158,0.79,0.7283538314009754,0.8407158793002101,7,0.04430379746835443,0.021623955563445332,0.08861639292761016,151,0.9556962025316456,0.9113836070723899,0.9783760444365547,-0.0435380752138403,0.1572436651455271,0.17622996337841745,0.1515764503065213,1.1626473836934514,0.9746835443037974,0.9746835443037974,3.2721518987341773,0.1090717299578059,0.25784509926075266,1.5194453612843568,2.2868993953910333,0.05673059854575751,2.8094425096228575,1.0,0.24050632911392406
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",40,exploratory,all,200,200,200,1.0,0.9811546736227335,1.0,16,0.08,0.049840585889759974,0.12598948826714396,184,0.92,0.874010511732856,0.9501594141102401,-0.012719742007188404,0.16259548235242255,0.1539518432150224,0.1625039591158602,0.9473728766525594,0.84,0.84,3.39,0.08475000000000002,0.19896575994500942,1.356423198227757,2.4036056310252247,0.03613092261167213,2.329857901688361,1.0,0.335
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",40,exploratory,acceptable,200,28,28,0.14,0.09866982633455634,0.1948988086570756,2,0.07142857142857142,0.019812064115305755,0.22645362568399052,26,0.9285714285714286,0.7735463743160095,0.9801879358846942,0.13417680674027915,0.19063713239587188,0.16476042362277168,0.13790694955642605,1.1947216884480376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",40,exploratory,caution,200,13,13,0.065,0.03837635464915299,0.10801907929906895,0,0.0,0.0,0.22809537235419838,13,1.0,0.7719046276458016,0.9999999999999999,0.12988189759120192,0.18192748312241902,0.165076660576061,0.1325920822528523,1.2449963660821073,1.0,1.0,1.0,0.025000000000000005,0.05920867928530171,0.354073326349345,0.4045213231070276,0.007079620955690819,0.35265138200723745,1.0,1.0
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",40,exploratory,insufficient,200,159,159,0.795,0.7337430194757748,0.8451382379616379,14,0.0880503144654088,0.053173773270627,0.14236278757383816,145,0.9119496855345912,0.8576372124261619,0.9468262267293731,-0.0502475701814536,0.15539761949152558,0.15113886914514515,0.1475142707467711,1.0245711711824559,0.9748427672955975,0.9748427672955975,4.182389937106918,0.10455974842767296,0.24543043495781738,1.594403965227957,2.562907217092609,0.04486886446484557,2.9018057381860256,1.0,0.16352201257861634
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",50,exploratory,all,200,200,200,1.0,0.9811546736227335,1.0,13,0.065,0.03837635464915299,0.10801907929906895,187,0.935,0.8919809207009312,0.961623645350847,-0.016531776377527518,0.14535272720393894,0.13964566037761916,0.14477192485616439,0.9645907555374543,0.85,0.85,4.15,0.083,0.19665751322870814,1.520828479117617,2.6837956542845864,0.0323617603176128,2.580410222760843,1.0,0.385
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",50,exploratory,acceptable,200,28,28,0.14,0.09866982633455634,0.1948988086570756,3,0.10714285714285714,0.03711836682929999,0.27195851548672156,25,0.8928571428571429,0.7280414845132785,0.9628816331707,0.1374526837651052,0.18098963451446615,0.15188379926351356,0.11990616868087285,1.266688786193714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",50,exploratory,caution,200,14,14,0.07,0.042152171828342806,0.11405480885610647,2,0.14285714285714285,0.040093921271464966,0.39941379496970353,12,0.8571428571428571,0.6005862050302965,0.9599060787285351,0.048946145345212196,0.16327777562842977,0.14812188823302616,0.16164888259629145,0.9163186645895465,1.0,1.0,1.0,0.019999999999999997,0.05139903816421737,0.35083006207248424,0.39170514659574257,0.006475259029926958,0.3765020579886133,1.0,1.0
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",50,exploratory,insufficient,200,158,158,0.79,0.7283538314009754,0.8407158793002101,8,0.05063291139240506,0.025876825383582304,0.09672129604509741,150,0.9493670886075949,0.9032787039549025,0.9741231746164177,-0.049622002884565954,0.13629466575924745,0.13672581810685497,0.12734413611810314,1.0736718805807512,0.9873417721518988,0.9873417721518988,5.1645569620253164,0.10329113924050633,0.24437921589520625,1.7913608937412953,2.8163932472233753,0.040390496437364455,3.2329811122805574,1.0,0.22151898734177214
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",80,exploratory,all,200,200,200,1.0,0.9811546736227335,1.0,15,0.075,0.04597491718438201,0.12004361023629456,185,0.925,0.8799563897637055,0.954025082815618,0.004371331335762423,0.11965089698997991,0.11151343821820557,0.11987107233512859,0.9302781400540305,0.9,0.9,6.65,0.083125,0.1976090957330074,1.7809003366592164,3.215070300985894,0.02428914307480591,2.949173890039136,1.0,0.345
