policy,scenario,distribution_family,n,level,total_replications,conditional_denominator,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_error,type_i_ci95_lower,type_i_ci95_upper,ci_coverage,coverage_ci95_lower,coverage_ci95_upper
v3_default,bimodal_asymmetric,bimodal,20,all,200,200,1.0,0.9811546736227335,1.0,0.045,0.023852543001492997,0.0832967040018196,0.955,0.9167032959981803,0.976147456998507
v3_default,bimodal_asymmetric,bimodal,20,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_default,bimodal_asymmetric,bimodal,20,caution,200,200,1.0,0.9811546736227335,1.0,0.045,0.023852543001492997,0.0832967040018196,0.955,0.9167032959981803,0.976147456998507
v3_default,bimodal_asymmetric,bimodal,20,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,20,all,200,200,1.0,0.9811546736227335,1.0,0.045,0.023852543001492997,0.0832967040018196,0.955,0.9167032959981803,0.976147456998507
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,20,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,20,caution,200,200,1.0,0.9811546736227335,1.0,0.045,0.023852543001492997,0.0832967040018196,0.955,0.9167032959981803,0.976147456998507
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,20,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,30,all,200,200,1.0,0.9811546736227335,1.0,0.055,0.03098534170345884,0.0957869987723084,0.945,0.9042130012276914,0.9690146582965411
v2,bimodal_asymmetric,bimodal,30,acceptable,200,42,0.21,0.15928412069979,0.2716461685990246,0.09523809523809523,0.03766224880557388,0.22065105808571023,0.9047619047619048,0.7793489419142897,0.9623377511944261
v2,bimodal_asymmetric,bimodal,30,caution,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,30,insufficient,200,158,0.79,0.7283538314009754,0.8407158793002101,0.04430379746835443,0.021623955563445332,0.08861639292761016,0.9556962025316456,0.9113836070723899,0.9783760444365547
v3_default,bimodal_asymmetric,bimodal,30,all,200,200,1.0,0.9811546736227335,1.0,0.055,0.03098534170345884,0.0957869987723084,0.945,0.9042130012276914,0.9690146582965411
v3_default,bimodal_asymmetric,bimodal,30,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_default,bimodal_asymmetric,bimodal,30,caution,200,200,1.0,0.9811546736227335,1.0,0.055,0.03098534170345884,0.0957869987723084,0.945,0.9042130012276914,0.9690146582965411
v3_default,bimodal_asymmetric,bimodal,30,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,30,all,200,200,1.0,0.9811546736227335,1.0,0.055,0.03098534170345884,0.0957869987723084,0.945,0.9042130012276914,0.9690146582965411
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,30,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,30,caution,200,200,1.0,0.9811546736227335,1.0,0.055,0.03098534170345884,0.0957869987723084,0.945,0.9042130012276914,0.9690146582965411
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,30,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,40,all,200,200,1.0,0.9811546736227335,1.0,0.08,0.049840585889759974,0.12598948826714396,0.92,0.874010511732856,0.9501594141102401
v2,bimodal_asymmetric,bimodal,40,acceptable,200,28,0.14,0.09866982633455634,0.1948988086570756,0.07142857142857142,0.019812064115305755,0.22645362568399052,0.9285714285714286,0.7735463743160095,0.9801879358846942
v2,bimodal_asymmetric,bimodal,40,caution,200,13,0.065,0.03837635464915299,0.10801907929906895,0.0,0.0,0.22809537235419838,1.0,0.7719046276458016,0.9999999999999999
v2,bimodal_asymmetric,bimodal,40,insufficient,200,159,0.795,0.7337430194757748,0.8451382379616379,0.0880503144654088,0.053173773270627,0.14236278757383816,0.9119496855345912,0.8576372124261619,0.9468262267293731
v3_default,bimodal_asymmetric,bimodal,40,all,200,200,1.0,0.9811546736227335,1.0,0.08,0.049840585889759974,0.12598948826714396,0.92,0.874010511732856,0.9501594141102401
